,State,Year,Quater,District,Transaction_count,Transaction_amount
184,andaman-&-nicobar-islands,2022,3,744102,114416,239581586.790242
185,andaman-&-nicobar-islands,2022,3,744107,40466,85492008.49477127
186,andaman-&-nicobar-islands,2022,3,744112,38350,74030563.48358011
187,andaman-&-nicobar-islands,2022,3,744211,37918,89671382.06901146
188,andaman-&-nicobar-islands,2022,3,744202,29918,85509005.84576747
189,andaman-&-nicobar-islands,2022,3,744301,27668,70002553.35288173
190,andaman-&-nicobar-islands,2022,4,744104,684366,1309407988.2902
191,andaman-&-nicobar-islands,2022,4,744103,304600,612929267.1773143
192,andaman-&-nicobar-islands,2022,4,744105,258097,505662756.1128938
193,andaman-&-nicobar-islands,2022,4,744101,243494,467192496.17391205
194,andaman-&-nicobar-islands,2022,4,744102,134923,264371699.73904055
195,andaman-&-nicobar-islands,2022,4,744211,56491,137253267.66612908
196,andaman-&-nicobar-islands,2022,4,744107,54192,104539818.47127225
197,andaman-&-nicobar-islands,2022,4,744112,46364,82461782.47749998
198,andaman-&-nicobar-islands,2022,4,744202,34689,94217164.85909571
199,andaman-&-nicobar-islands,2022,4,744301,33669,82466591.07632071
200,andhra-pradesh,2018,1,517501,110496,163487278.84449506
201,andhra-pradesh,2018,1,520001,96883,170605900.5466873
202,andhra-pradesh,2018,1,515001,92754,133522310.75704184
203,andhra-pradesh,2018,1,517507,88132,127450018.2101582
204,andhra-pradesh,2018,1,516001,84644,131194265.5243713
205,andhra-pradesh,2018,1,518502,82421,68040306.13881023
206,andhra-pradesh,2018,1,530016,81891,140880970.0990568
207,andhra-pradesh,2018,1,520010,69581,119009921.97401813
208,andhra-pradesh,2018,1,516360,68340,101612118.88480642
209,andhra-pradesh,2018,1,518501,68193,81006512.71677604
210,andhra-pradesh,2018,2,517501,165506,305629373.15863353
211,andhra-pradesh,2018,2,518502,140893,127814123.87394845
212,andhra-pradesh,2018,2,515001,129798,285924993.6163615
213,andhra-pradesh,2018,2,517507,127731,243405277.90481398
214,andhra-pradesh,2018,2,520001,123176,271911611.0495833
215,andhra-pradesh,2018,2,516001,114806,242175477.6115077
216,andhra-pradesh,2018,2,530016,111874,235770318.03054443
217,andhra-pradesh,2018,2,520010,100630,220730389.6490364
218,andhra-pradesh,2018,2,516360,96619,197068813.60447282
219,andhra-pradesh,2018,2,518501,93442,163942778.22947574
220,andhra-pradesh,2018,3,518502,1300146,709765829.9649723
221,andhra-pradesh,2018,3,533437,421968,240766495.05853492
222,andhra-pradesh,2018,3,518501,296154,291247918.8462258
223,andhra-pradesh,2018,3,517501,295403,466133618.6014985
224,andhra-pradesh,2018,3,515001,276595,438158383.2247275
225,andhra-pradesh,2018,3,530016,234494,380410223.19526947
226,andhra-pradesh,2018,3,517507,233347,386563858.6898683
227,andhra-pradesh,2018,3,516259,220165,109844218.671292
228,andhra-pradesh,2018,3,520011,213275,291805923.00111276
229,andhra-pradesh,2018,3,520001,206435,371140000.30740225
230,andhra-pradesh,2018,4,518502,441662,332201263.2829269
231,andhra-pradesh,2018,4,517501,423357,714887920.0334857
232,andhra-pradesh,2018,4,530016,367619,575982481.3389585
233,andhra-pradesh,2018,4,515001,355695,651952970.9302757
234,andhra-pradesh,2018,4,517507,318300,594747982.0458119
235,andhra-pradesh,2018,4,530003,277131,356075793.85855436
236,andhra-pradesh,2018,4,516001,269798,572252390.1920383
237,andhra-pradesh,2018,4,520010,250261,492229977.1570112
238,andhra-pradesh,2018,4,530017,248725,326891428.60271376
239,andhra-pradesh,2018,4,518501,248520,357423401.5571966
240,andhra-pradesh,2019,1,530001,950821,1529039457.6419592
241,andhra-pradesh,2019,1,517501,922416,1244725311.4573965
242,andhra-pradesh,2019,1,520001,814616,1462807205.627422
243,andhra-pradesh,2019,1,530016,684611,960022481.5524917
244,andhra-pradesh,2019,1,517507,671661,1009128524.8128469
245,andhra-pradesh,2019,1,515001,609682,1009938283.8464416
246,andhra-pradesh,2019,1,518502,545426,389782596.9665674
247,andhra-pradesh,2019,1,530003,527667,590799502.8850918
248,andhra-pradesh,2019,1,530017,472914,531596255.9349663
249,andhra-pradesh,2019,1,520010,460133,774931063.0289192
250,andhra-pradesh,2019,2,530001,2602865,5218795715.70141
251,andhra-pradesh,2019,2,520001,1828617,3823390190.0922346
252,andhra-pradesh,2019,2,517501,949187,1669949938.5076957
253,andhra-pradesh,2019,2,522001,839909,1759418775.980979
254,andhra-pradesh,2019,2,530016,793798,1257915825.5688605
255,andhra-pradesh,2019,2,517507,760335,1412863012.2407691
256,andhra-pradesh,2019,2,515001,567306,1282118916.2094193
257,andhra-pradesh,2019,2,530003,520142,718170914.395836
258,andhra-pradesh,2019,2,520010,490697,973983824.5472903
259,andhra-pradesh,2019,2,530017,480905,650710126.3382195
260,andhra-pradesh,2019,3,530001,2944756,6693257653.901131
261,andhra-pradesh,2019,3,520001,1905190,4414503365.699517
262,andhra-pradesh,2019,3,517501,1434209,2203932856.2972074
263,andhra-pradesh,2019,3,530016,1196020,1658162548.562835
264,andhra-pradesh,2019,3,517507,1060513,1854927351.7366562
265,andhra-pradesh,2019,3,522001,1003916,2216532548.7258
266,andhra-pradesh,2019,3,515001,868052,1667826831.8650486
267,andhra-pradesh,2019,3,530003,858005,970993081.1712441
268,andhra-pradesh,2019,3,530017,799271,911939243.0618924
269,andhra-pradesh,2019,3,530026,711726,1095056835.9858122
270,andhra-pradesh,2019,4,530001,4185063,9160387223.4497
271,andhra-pradesh,2019,4,520001,2544877,5933007156.535349
272,andhra-pradesh,2019,4,517501,1920211,3073084029.9256625
273,andhra-pradesh,2019,4,530016,1591033,2295184224.145106
274,andhra-pradesh,2019,4,530026,1438154,2509394595.5414515
275,andhra-pradesh,2019,4,517507,1406768,2478459132.7705936
276,andhra-pradesh,2019,4,522001,1324202,2927313967.683236
277,andhra-pradesh,2019,4,515001,1202983,2376869516.684207
278,andhra-pradesh,2019,4,530003,1131832,1339103327.887921
279,andhra-pradesh,2019,4,530017,1084796,1266927471.3317952
280,andhra-pradesh,2020,1,530026,6695271,15258657486.862274
281,andhra-pradesh,2020,1,517501,2196548,3731404465.729061
282,andhra-pradesh,2020,1,530016,1661816,2593325339.0472875
283,andhra-pradesh,2020,1,517507,1554974,2719620696.0325623
284,andhra-pradesh,2020,1,515001,1346804,2696427930.6755033
285,andhra-pradesh,2020,1,530003,1159480,1519955258.5314608
286,andhra-pradesh,2020,1,524002,1125194,2653339803.95633
287,andhra-pradesh,2020,1,530017,1104748,1412381495.9440272
288,andhra-pradesh,2020,1,520010,1098395,2059547223.1742206
289,andhra-pradesh,2020,1,522001,1058410,2575723775.0488396
290,andhra-pradesh,2020,2,530026,4994637,12817902607.017586
291,andhra-pradesh,2020,2,517501,1708935,3203679955.4885287
292,andhra-pradesh,2020,2,517507,1575118,2854711069.441047
293,andhra-pradesh,2020,2,524002,1553283,3993963025.6852684
294,andhra-pradesh,2020,2,530016,1067022,1893629834.0393307
295,andhra-pradesh,2020,2,516001,1066066,2616099329.3322473
296,andhra-pradesh,2020,2,515001,1026587,2447755903.073549
297,andhra-pradesh,2020,2,518002,979822,2015820866.3250332
298,andhra-pradesh,2020,2,522001,963666,2678051229.473872
299,andhra-pradesh,2020,2,520002,956641,2767045048.1995325
300,andhra-pradesh,2020,3,524002,5194663,13718743729.17845
301,andhra-pradesh,2020,3,530026,4159532,10383207817.795242
302,andhra-pradesh,2020,3,517501,2735691,5544720473.076229
303,andhra-pradesh,2020,3,516001,2534360,6637577271.358326
304,andhra-pradesh,2020,3,517507,2306174,4594510974.325968
305,andhra-pradesh,2020,3,520002,2238996,6543183825.055463
306,andhra-pradesh,2020,3,530016,1921871,3560898943.243418
307,andhra-pradesh,2020,3,515001,1669413,4116758527.095812
308,andhra-pradesh,2020,3,522001,1625687,4701116488.838855
309,andhra-pradesh,2020,3,518002,1514873,3352462441.2241564
310,andhra-pradesh,2020,4,524002,5029692,12810644736.250324
311,andhra-pradesh,2020,4,530026,4235146,9849636860.464972
312,andhra-pradesh,2020,4,517501,4125544,7866883789.381668
313,andhra-pradesh,2020,4,517507,3420778,6749696775.855953
314,andhra-pradesh,2020,4,516001,3119905,8005247952.077286
315,andhra-pradesh,2020,4,530016,2981818,5591062751.070802
316,andhra-pradesh,2020,4,515001,2821800,6442101736.915546
317,andhra-pradesh,2020,4,518002,2219953,4809927717.539759
318,andhra-pradesh,2020,4,520010,2170458,4679865894.241622
319,andhra-pradesh,2020,4,530017,2027751,3252434512.586547
320,andhra-pradesh,2021,1,524002,7269657,16698428355.239132
321,andhra-pradesh,2021,1,530026,5875319,13567044097.312927
322,andhra-pradesh,2021,1,517501,4354325,8224302893.470669
323,andhra-pradesh,2021,1,520002,3591058,9183853695.408499
324,andhra-pradesh,2021,1,517507,3378549,6593121540.981036
325,andhra-pradesh,2021,1,530016,3144495,5679150412.005564
326,andhra-pradesh,2021,1,516001,2941623,7434205012.068323
327,andhra-pradesh,2021,1,515001,2815993,6225481722.602297
328,andhra-pradesh,2021,1,522001,2584588,6753205746.899624
329,andhra-pradesh,2021,1,520010,2291676,4716738889.930448
330,andhra-pradesh,2021,2,524002,11023032,25519404146.52658
331,andhra-pradesh,2021,2,530026,7850540,19042845773.20165
332,andhra-pradesh,2021,2,520002,5441708,14948864290.86964
333,andhra-pradesh,2021,2,517501,4614209,9215678010.439575
334,andhra-pradesh,2021,2,517507,3834825,7940105016.380435
335,andhra-pradesh,2021,2,522001,3427039,9832657321.439524
336,andhra-pradesh,2021,2,515001,3052771,7213837063.020088
337,andhra-pradesh,2021,2,530016,2892664,5705916880.595729
338,andhra-pradesh,2021,2,516001,2613562,7256266063.657529
339,andhra-pradesh,2021,2,518002,2553688,5906664130.524334
340,andhra-pradesh,2021,3,524002,10701326,23300508690.71216
341,andhra-pradesh,2021,3,530026,9780096,22841763578.29273
342,andhra-pradesh,2021,3,517501,5982442,11419848822.233982
343,andhra-pradesh,2021,3,520002,5320101,14633600592.216694
344,andhra-pradesh,2021,3,517507,4866065,9768221617.56348
345,andhra-pradesh,2021,3,522001,4242875,11355623168.660927
346,andhra-pradesh,2021,3,530016,4177023,7797927714.306906
347,andhra-pradesh,2021,3,515001,4040160,8752025049.046715
348,andhra-pradesh,2021,3,516001,3370675,8720115499.341372
349,andhra-pradesh,2021,3,520010,3206301,6832329071.6628275
350,andhra-pradesh,2021,4,524002,14158439,30358274591.367683
351,andhra-pradesh,2021,4,530026,10216678,24428085477.49295
352,andhra-pradesh,2021,4,517501,7246667,13514835187.056923
353,andhra-pradesh,2021,4,517507,5790910,11415016234.059563
354,andhra-pradesh,2021,4,520002,5716025,15397268124.171196
355,andhra-pradesh,2021,4,530016,5252680,9484946022.822403
356,andhra-pradesh,2021,4,522001,4989759,13298088500.28115
357,andhra-pradesh,2021,4,515001,4892740,10235401678.208153
358,andhra-pradesh,2021,4,520010,4198904,8551737728.052567
359,andhra-pradesh,2021,4,516001,4058071,10324818012.146276
360,andhra-pradesh,2022,1,524002,16133298,35123754551.39544
361,andhra-pradesh,2022,1,530026,10293117,25355928765.674084
362,andhra-pradesh,2022,1,517501,8062447,14807178133.005922
363,andhra-pradesh,2022,1,517507,6660899,12913687866.526722
364,andhra-pradesh,2022,1,520002,6254668,16297042494.467913
365,andhra-pradesh,2022,1,522001,5691035,15226428277.57111
366,andhra-pradesh,2022,1,515001,5585462,11393585212.479506
367,andhra-pradesh,2022,1,530016,5554647,9991176892.061853
368,andhra-pradesh,2022,1,516001,4513789,11365056779.562836
369,andhra-pradesh,2022,1,520010,4492155,9108501441.854177
370,andhra-pradesh,2022,2,524002,18822839,40556750377.6809
371,andhra-pradesh,2022,2,530026,12256092,29600523030.089485
372,andhra-pradesh,2022,2,517501,9320394,17071503296.033054
